_id,SENJSKIH USKOKA 2,051/344-423,Rijeka,CENTAR ZA ODGOJ I OBRAZOVANJE,Grad Rijeka,51000,Ivone  Sabaric Rubesa,051/344-145,"Osnovna skola, Posebna ustanova odgoja i obrazovanja, Srednja s",http://centar-odgojiobrazovanje-ri.skole.hr/,"tatjana.kovacic@skole.hr, ured@centar-odgojiobrazovanje-ri.skol",08-071-026,Primorsko-goranska zupanija
12,Jakova Gotovca 2,"",Čakovec,SREDNJA ŠKOLA - ČAKOVEC,Savez Baptističkih crkava u Republici Hrvatskoj/Baptistička crkva s pastoralnim centrom Čakovec  ,40000,Gordana  Ramušćak,"040/314108, 099 333 44 70","Osnovna škola, Srednja škola",http://www.ss-cakovec.skole.hr/,"ravnatelj@ss-cakovec.skole.hr, ured@ss-cakovec.skole.hr",20-010-507,Međimurska županija
13,Ljudevita Gaja 22,"",Zagreb,OPĆA PRIVATNA GIMNAZIJA,Tomislav Krstičević,10000,,01/4816-063,Srednja škola,www.opca-privatna-gimnazija.hr,info@opca-privatna-gimnazija.hr,21-114-623,Grad Zagreb županija
14,Vladimira Stahuljaka 1,01/6454-681,Sesvete,Srednja škola Jelkovec,Grad Zagreb,10360,Marko  Kovačević,"01/2049-723, 016454680",Srednja škola,ss-jelkovec.skole.hr,ured@ss-jelkovec.skole.hr,21-114-624,Grad Zagreb županija
15,Ulica Nikole Tesle 14,"",Zagreb,Privatna sportska i jezična gimnazija Franjo Bučar,Privatna sportska i jezična gimnazija Franjo Bučar,10000,Zdenka  Ivanković,01 5620 833,Srednja škola,www.gimnazijabucar.hr,ured@gimnazija-fbucar-zg.skole.hr,21-114-628,Grad Zagreb županija
16,Harambašićeva 14,"",Zagreb,"Glazbena škola ""Muzički atelje""",Zdravko Miladin,10000,Zdravko  Miladin,095/910-2412,"Osnovna škola, Srednja škola, Umjetnička škola","",info@muzickiatelje.hr,21-114-630,Grad Zagreb županija
17,Trg Svetog Trojstva 16,042/421-793,Ludbreg,Srednja škola Ludbreg,Varaždinska županija,42230,Josip  Zdelar,042/421-791,Srednja škola,www.ssludbreg.hr,josip.zdelar@skole.hr,05-087-501,Varaždinska županija
18,Zagorska 23,"",Novi Marof,Srednja škola Novi Marof,Varaždinska županija,42220,Nikola  Žganec,"042 205 109 // 091 282 7155, 042 205 110, 042 205 110",Srednja škola,www.ss-novimarof.skole.hr,"ravnatelj.ssnm@gmail.com, ured.ssnm@skole.hr",05-087-502,Varaždinska županija
19,Vodnikova 12,"",Zagreb,Gimnazija Marul,Centar za strane jezike,10000,Katarina  Bačić,01 4877800,Srednja škola,"","marul@gimnazijamarul.hr, ured@gimnazija-marul-zg.skole.hr",21-114-631,Grad Zagreb županija
20,Park Ribnjak 1,"",Zagreb,Glazbena škola Ladislav Račić,Ladislav Račić,10000,Ladislav  Račić,01 4818 592,"Osnovna škola, Srednja škola, Umjetnička škola",www.rock-akademija.hr,"info@rock-akademija.hr, ured@glazbena-ladislavracic.skole.hr",21-114-634,Grad Zagreb županija
21,Ljubijska ul. 82,"",Zagreb,"Privatna glazbena škola ""Iva Kuprešak""",Iva Kuprešak,10000,Iva  Vidaković,099/352-0880,"Osnovna škola, Srednja škola, Umjetnička škola","",ik2210@columbia.edu,21-114-158,Grad Zagreb županija
22,Splitska 1,"",Zadar,Privatna gimnazija NOVA s pravom javnosti,Dolores Mufa,23000,Margita  Gurdulić,023 301 565,Srednja škola,www.pgnova.hr,"skola@pgnova.hr, ured@privatna-gimnazija-nova.skole.hr",13-126-537,Zadarska županija
23,"Sopot 2, Podsused","",Zagreb,"EPOHA, privatna gimnazija s pravom javnosti","Epoha, privatna gimnazija s pravom javnosti",10000,Renata  Brekalo,01 8880410,Srednja škola,"",info@epoha.hr,21-114-635,Grad Zagreb županija
24,Dvorničićeva 15,"",Zagreb,Humanistička gimnazija,Hetairos d.o.o. za usluge,10000,Tonći  Maleš,"",Srednja škola,"",info@hug.hr,21-114-571,Grad Zagreb županija
25,Kninska ulica 9,"",Dugopolje,Privatna srednja škola Aspalathos Međunarodna škola,Split International Group d.o.o.,21204,John  Rogošić,"",Srednja škola,"",john.rogosic@skole.hr,17-126-537,Splitsko-dalmatinska županija
26,Radnička cesta 180,"",Zagreb,Privatna srednja škola AMAC međunarodna škola,AMERICAN ACADEMY ADRIA s.r.o.,10000,Ondřej  Kania,"",Srednja škola,https://americanacademy.com/hr/school-zagreb/,"zagreb@americanacademy.com, croatia@americanacademy.com, ondrej.kania@skole.hr",21-114-569,Grad Zagreb županija
27,Av. Gojka Šuška 1,"",Zagreb,Policijska škola Josip Jović,Ministarstvo unutarnjih poslova,10000,Mario  Bošnjak,"",Srednja škola,"",policijska_skola@skole.hr,21-114-636,Grad Zagreb županija
28,Wenzelova 2,"",Rijeka,MEĐUNARODNA SREDNJA ŠKOLA ADRIA,Andrej Marušić,51000,Marijeta  Mašić,+385 91 4925 555,Srednja škola,"","info@adria-school.hr, admin@ss-adria-ri.skole.hr",08-071-531,Primorsko-goranska županija
29,Ulica kardinala Alojzija Stepinca 21,"",Osijek,EDukOS-PRIVATNA SREDNJA ŠKOLA S PRAVOM JAVNOSTI,EDukOS-privatna srednja škola s pravom javnosti,31000,Boris  Hartman,"",Srednja škola,"",ured@ss-edukos-os.skole.hr,14-060-523,Osječko-baranjska županija
30,Zametska 6,"",Rijeka,SREDNJA WALDORFSKA ŠKOLA U RIJECI,DRUŠTVO PRIJATELJA WALDORFSKE PEDAGOGIJE(Registar udruga Primorsko - goranske županije- broj:08000959),51000,Sandra  Kraljević Pavelić,"",Srednja škola,"","",08-071-527,Primorsko-goranska županija
31,Siget 18c,"",Zagreb,SREDNJA WALDORFSKA ŠKOLA U ZAGREBU,UDRUGA RODITELJA I  UČITELJA WALDORFSKE ŠKOLE U ZAGREBU,10020,,"",Srednja škola,"",aleksandra.belkovic@skole.hr,21-114-633,Grad Zagreb županija
32,SPLITSKA 2,"",Šibenik,GLAZBENA ŠKOLA IVANA LUKAČIĆA,Šibensko-kninska županija,22000,Ruža  Raguž Cukrov,022/212-227,"Osnovna škola, Srednja škola, Umjetnička škola","",ured@glazbena-ilukacica-si.skole.hr,15-081-511,Šibensko-kninska županija
33,Bruna Bušića 5,021/670-052,Imotski,GLAZBENA ŠKOLA DR. FRA IVAN GLIBOTIĆ-IMOTSKI,Splitsko-dalmatinska županija,21260,Darko  Rimac,"021/670-052, 021/841-811","Osnovna škola, Srednja škola, Umjetnička škola","","glazbenaskolaimotski@gmail.com, ured@gs-drfraiglibotic-imotski.skole.hr",17-030-506,Splitsko-dalmatinska županija
34,DON MIHOVILA PAVLINOVIĆA 1,021/678-710,Makarska,Glazbena škola Makarska,Grad Makarska,21300,Željko  Vlaho,"021/611-048, 021/611-048","Osnovna škola, Srednja škola, Umjetnička škola","","ured@gs-makarska.skole.hr, zeljko.vlaho@skole.hr",17-047-503,Splitsko-dalmatinska županija
35,TRG HRVATSKE BRATSKE ZAJEDNICE 3,021 480080,Split,GLAZBENA ŠKOLA JOSIPA HATZEA,Splitsko-dalmatinska županija,21000,,"021/480-049, 0953482250","Osnovna škola, Srednja škola, Umjetnička škola",http://www.gsjh.hr/,ured@ogs-jhatzea-st.skole.hr,17-126-525,Splitsko-dalmatinska županija
36,ROVINJSKA 6,052/212-339,Pula,Škola za odgoj i obrazovanje - Pula,Grad Pula,52100,Višnja  Popović,"052/ 212-339, 052/223-434","Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola",http://ss-odgoj-obrazovanje-pu.skole.hr/,"skoo.pula@gmail.com, ured@ss-odgoj-obrazovanje-pu.skole.hr",18-069-011,Istarska županija
37,CISCUTTIJEVA 22,052/542-187,Pula,Glazbena škola Ivana Matetića - Ronjgova Pula,Istarska županija,52100,Romana  Vuksan Zuban,"052/543 915  ;  052/543 905, 052/543-912","Osnovna škola, Srednja škola, Umjetnička škola",http://www.imr.hr,"glazbena@imr.hr, admin@ss-glazbena-imatetica-ronjgova-pu.skole.hr",18-069-512,Istarska županija
38,STROSSMAYEROVA 3,"",Dubrovnik,UMJETNIČKA ŠKOLA LUKE SORKOČEVIĆA DUBROVNIK,Dubrovačko-neretvanska županija,20000,Dario  Čagalj,"020/324-636, 020/324-636, 020/324-642, 020/324 604","Osnovna škola, Srednja škola, Umjetnička škola","",ured@ss-umjetnicka-lsorkocevica-du.skole.hr,19-018-514,Dubrovačko-neretvanska županija
39,VLADIMIRA NAZORA 14,"",Čakovec,Umjetnička škola Miroslav Magdalenić Čakovec,Grad Čakovec,40000,Senka  Bašek-Šamec,"040/390-801, 040/390-801, 040/390-802","Osnovna škola, Srednja škola, Umjetnička škola","","ured@os-umjetnicka-ck.skole.hr, tajnistvo@os-umjetnicka-ck.skole.hr",20-010-008,Međimurska županija
40,TRG MATICE HRVATSKE 3,01/336-35-50,Samobor,Glazbena škola Ferdo Livadić,Zagrebačka županija,10430,,"01/333-64-27, 333-61-04, 01/333-61-05","Osnovna škola, Srednja škola, Umjetnička škola","","ured@ss-glazbena-flivadic-samobor.skole.hr, zdenka.mercep@skole.hr",01-073-504,Zagrebačka županija
41,SLAVKA KOLARA 39,622-13-75,Velika Gorica,Umjetnička škola Franje Lučića,Grad Velika Gorica,10410,Borut  Vidošević,"622-13-76, 622-13-75, 626-05-35","Osnovna škola, Srednja škola, Umjetnička škola",www.ss-umjetnicka-flucica-velikagorica.skole.hr,ured@ss-umjetnicka-flucica-velikagorica.skole.hr,01-087-505,Zagrebačka županija
42,ZAJEZDA 31,049 301-773,Zajezda,CENTAR ZA ODGOJ I OBRAZOVANJE ZAJEZDA,"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb",49284,Denis  Sušac,"049/459-002, 049 458-115, 049 458-246","Osnovna škola, Srednja škola","",ured@centar-zajezda-budinscina.skole.hr,02-168-002,Krapinsko-zagorska županija
43,Trg dr. Franje Tuđmana 3,"",Novska,Glazbena škola u Novskoj,Sisačko-moslavačka županija,44330,Dunja  Uroić,"044/601-299, 044/601-299","Osnovna škola, Srednja škola, Umjetnička škola",www.glazbena-novska.hr,"glazbena-skola-novska@sk.t-com.hr, ured@ss-glazbena-novska.skole.hr",03-054-502,Sisačko-moslavačka županija
44,Trg Ljudevita Posavskog 2,044/548-528,Sisak,GLAZBENA ŠKOLA FRANA LHOTKE,Sisačko-moslavačka županija,44000,Tomislav  Ivšić,044/548-528,"Osnovna škola, Srednja škola, Umjetnička škola",http://www.fran-lhotka.hr,"ured@ogs-franlhotka-sk.skole.hr, , info@ogs-franlhotka-sk.skole.hr",03-076-508,Sisačko-moslavačka županija
45,BANIJA 24,"047/648-395, 648-548",Karlovac,CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI,Grad Karlovac,47000,Volodymyr  Kubinskyy,"047/648-548, 047/648-395","Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola",centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr,coodm@centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr,04-034-010,Karlovačka županija
46,CESARČEVA 3.,"",Karlovac,GLAZBENA ŠKOLA KARLOVAC,Karlovačka županija,47000,Snježana  Mrljak,"047/642-669, 047/600-575, 047/615-161","Osnovna škola, Srednja škola, Umjetnička škola","","info@glazbena-ka.hr, ravnatelj@glazbena-ka.hr",04-034-513,Karlovačka županija
47,JURJA KRIŽANIĆA 33,301-360,Varaždin,Centar za odgoj i obrazovanje Tomislav Špoljar,Grad Varaždin,42000,Marin  Vučić,"212-787, 301-362, 301-363, 301-361, 658-450","Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola","","info@centar-tspoljar-vz.skole.hr, info@centar-tspoljar-vz.skole.hr",05-086-007,Varaždinska županija
48,Kapucinski trg 8,042213715,Varaždin,Glazbena škola u Varaždinu,Varaždinska županija,42000,Davor  Matačić,"042213123, 042200940, 042200125","Osnovna škola, Srednja škola, Umjetnička škola","","glazbena-skola@vz.t-com.hr, tajnistvo@glazbena.hr, ured@ogs-varazdin.skole.hr",05-086-512,Varaždinska županija
49,Antuna Gustava Matoša 4,048/711-273,Križevci,"Glazbena škola Alberta Štrige, Križevci",Grad Križevci,48260,Branka  Špoljar,"048/711-273, 048/711-274, 048/711-373","Osnovna škola, Srednja škola, Umjetnička škola",www.glazbenaskolakrizevci.hr,"branka.spoljar@skole.hr, tajnistvo@ss-glazbena-astrige-kc.skole.hr",06-041-505,Koprivničko-križevačka županija
50,Vatroslava Lisinskog 1,043/241-407,Bjelovar,GLAZBENA ŠKOLA VATROSLAVA LISINSKOG BJELOVAR,Bjelovarsko-bilogorska županija,43000,Nevenka  Presečan Arvay,"043/244-416, 043/243-416, nena.presecan@gmail.com","Osnovna škola, Srednja škola, Umjetnička škola",www.lisinski-bj.hr,"glazbena@lisinski-bj.hr, nevenka.presecan-arvay@skole.hr",07-004-511,Bjelovarsko-bilogorska županija
51,Trg Presvetog Trojstva 8,043/440-518,Daruvar,GLAZBENA ŠKOLA BRUNE BJELINSKOG DARUVAR,Bjelovarsko-bilogorska županija,43500,Vanda  Cegledi,"043/335-625, 043/440-518, 099/2158-111","Osnovna škola, Srednja škola, Umjetnička škola","",ured@gs-bbjelinskog-daruvar.skole.hr,07-012-504,Bjelovarsko-bilogorska županija
52,ILIRSKI TRG 9,01/485-13-20,Zagreb,ŠKOLA ZA KLASIČNI BALET,Grad Zagreb ,10000,Marko  Đurakić,"01/485-13-20, 01/485-12-26","Osnovna škola, Srednja škola, Umjetnička škola",www.skolazaklasicnibalet.hr,skola@skolazaklasicnibalet.hr,21-114-589,Grad Zagreb županija
53,Laginjina 13,"",Zagreb,ŠKOLA SUVREMENOG PLESA ANE MALETIĆ,Grad Zagreb ,10000,Oksana  Čuljat,"01/4670 400, 01/4670 400","Srednja škola, Umjetnička škola",https://plesnaanamaletic.school/,"skola@skolaanemaletic.hr, oksana.culjat@skole.hr",21-114-590,Grad Zagreb županija
54,ZAGORSKA 16,"",Zagreb,UMJETNIČKA PLESNA ŠKOLA SILVIJE HERCIGONJE,Grad Zagreb ,10000,Ivana  Pinjušić Bužančić,"","Osnovna škola, Srednja škola, Umjetnička škola","","matija.podnar1@skole.hr, ravnatelj@plesna-hercigonja.com, racunovodstvo@plesna-hercigonja.com, tajnistvo@plesna-hercigonja.com",21-114-121,Grad Zagreb županija
55,Božidara Magovca 103,01/239-54-95,Zagreb,GLAZBENA ŠKOLA ZLATKA BALOKOVIĆA,Grad Zagreb ,10000,Marjan  Krajna,"01/6692-951, 01/2399-180","Osnovna škola, Srednja škola, Umjetnička škola","",glazbenaskola.zbalokovica@inet.hr,21-114-596,Grad Zagreb županija
56,TRG  ŽRTAVA  FAŠIZMA 9,01/45 52 858,Zagreb,GLAZBENA ŠKOLA PAVLA MARKOVCA,Grad Zagreb ,10000,Niko  Marušić,"01/45 52 590, 01/45-52-858","Osnovna škola, Srednja škola, Umjetnička škola","","gspm@ss-glazbena-pmarkovca-zg.skole.hr, franjo.klinar@skole.hr, pavla.markovca@zg.t-com.hr, upisi.ss.gspm@gmail.com, ured@ss-glazbena-pmarkovca-zg.skole.hr",21-114-591,Grad Zagreb županija
57,Vlaška ulica 87,", ",Zagreb,Glazbeno učilište Elly Bašić,Grad Zagreb ,10000,Mirela  Buchberger Karlo,01/4666 101,"Osnovna škola, Srednja škola, Umjetnička škola",www.ellybasic.hr,guebasic@zg.t-com.hr,21-114-592,Grad Zagreb županija
58,GUNDULIĆEVA 4/1,01/483-07-67,Zagreb,GLAZBENA ŠKOLA VATROSLAVA LISINSKOG,Grad Zagreb ,10000,Antonio  Mrčela,"01/483-07-64, 483-07-67, 098-9779-374","Osnovna škola, Srednja škola, Umjetnička škola",www.glazbena-lisinski.hr,"glazbena.lisinski@gmail.com, ured@ss-glazbena-vlisinskog-zg.skole.hr",21-114-593,Grad Zagreb županija
59,BRITANSKI TRG 5,"",Zagreb,Glazbena škola Blagoja Berse,Grad Zagreb ,10000,Mislav  Defar,01/482-35-53;482-35-70,"Osnovna škola, Srednja škola, Umjetnička škola","",glazbena@bersa.hr,21-114-594,Grad Zagreb županija
60,Kušlanova 59a,01/2382240,Zagreb,Centar za odgoj i obrazovanje Vinko Bek,"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb",10000,Ivana  Rotim,"01/2382241, 01/2382242, 01/2382200","Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola, Umjetnička škola","",ured@centar-vinko-bek-zg.skole.hr,21-114-153,Grad Zagreb županija
61,Vladimira Nazora 47,"01/4875977, 01/4875977",Zagreb,Centar za odgoj i obrazovanje Slave Raškaj Zagreb,"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb",10000,Jelena  Grabovac,"01/4821202, 01/4821204, 01/4821202","Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola",http://centar-sraskaj-zg.skole.hr,ured@centar-sraskaj-zg.skole.hr,21-114-147,Grad Zagreb županija
62,PRILAZ TOMISLAVA ŠPOLJARA 2,01/291-16-67,Zagreb,Centar za odgoj i obrazovanje Dubrava,"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb",10000,Liliana  Kalčić Galeković,"01/291-16-65, 01/291-16-67","Posebna ustanova odgoja i obrazovanja, Srednja škola",www.centardubrava.hr,"centardubrava@centardubrava.hr, ured@centar-dubrava-zg.skole.hr",21-114-149,Grad Zagreb županija
63,FERENČAKOVA 25,01 2756001,Dugo Selo,Srednja škola Dugo Selo,Zagrebačka županija,10370,Darinka  Svetec,012756000,Srednja škola,http://ss-dugo-selo.skole.hr/,ured@ss-dugo-selo.skole.hr,01-020-501,Zagrebačka županija
64,Školska 12,01/288-89-93,Ivanić-Grad,Srednja škola Ivan Švear Ivanić Grad,Zagrebačka županija,10310,Josipa  Ilić,"01/288-89-92, 01/288-89-92",Srednja škola,www.ssivanic.hr,isvear@ss-isvear-ivanic-grad.skole.hr,01-032-501,Zagrebačka županija
65,VEĆESLAVA HOLJEVCA 11,01/6271169,Jastrebarsko,SREDNJA ŠKOLA JASTREBARSKO,Zagrebačka županija,10450,Sonja  Stipanović,"01/628-14-84, 01/628-35-44",Srednja škola,www.ss-jastrebarsko.skole.hr,"srednja.skola.jastrebarsko@gmail.com, srednja.jastrebarsko@skole.hr",01-033-501,Zagrebačka županija
66,Andrije Hebranga 26,01/336-00-06,Samobor,"EKONOMSKA, TRGOVAČKA I UGOSTITELJSKA ŠKOLA - SAMOBOR",Zagrebačka županija,10430,Mirjana  Kroflin,"01/336-03-23/1, 01/336-03-23/4, 01/332-42-90",Srednja škola,ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr,"ravnatelj@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr, ured@ss-ekonomska-trgovacka-ugostiteljska-samobor.skole.hr",01-073-501,Zagrebačka županija
67,Andrije Hebranga 26,01/336-04-01,Samobor,GIMNAZIJA ANTUNA GUSTAVA MATOŠA,Zagrebačka županija,10430,Franjo  Bedeničić,01/336-04-01,Srednja škola,"",agmatos@gimnazija-agmatos-samobor.skole.hr,01-073-502,Zagrebačka županija
68,ANDRIJE HEBRANGA 26,01/336-52-00,Samobor,SREDNJA STRUKOVNA ŠKOLA,Zagrebačka županija,10430,Davor  Škiljan,"01/336-52-00, 01/336-52-00, 01/336-10-80",Srednja škola,"",ured@ss-strukovna-samobor.skole.hr,01-073-503,Zagrebačka županija
69,KRALJA STJEPANA TOMAŠEVIĆA 21,01/626-52-39,Velika Gorica,Ekonomska škola Velika Gorica,Zagrebačka županija,10410,Vesna  Brkljačić,"01/626-52-39, 01/626-52-49, 01/626-52-48",Srednja škola,"",ured@ss-ekonomska-velikagorica.skole.hr,01-087-501,Zagrebačka županija
70,ULICA KRALJA STJEPANA TOMAŠEVIĆA 21,01/6221-370,Velika Gorica,GIMNAZIJA VELIKA GORICA,Zagrebačka županija,10410,Brankica  Žugaj,"01/6221-370, 01/6265-244",Srednja škola,http://www.gimnazija-velika-gorica.skole.hr/,ured@gimnazija-velika-gorica.skole.hr,01-087-502,Zagrebačka županija
71,ULICA KRALJA STJEPANA TOMAŠEVIĆA 21,"",Velika Gorica,SREDNJA STRUKOVNA ŠKOLA VELIKA GORICA,Zagrebačka županija,10410,Miroslav  Antolčić,"6251-800, 01/ 6222 256, 01 6222 233, 01 6222 113",Srednja škola,ss-strukovna-velikagorica.skole.hr,	ured@ss-strukovna-velikagorica.skole.hr,01-087-503,Zagrebačka županija
72,Rudolfa Fizira 6,38575805650,Velika Gorica,Zrakoplovna tehnička škola Rudolfa Perešina,Zagrebačka županija,10410,Vedran  Šarac,"01/6260 523, 01/6260 526",Srednja škola,http://ss-zrakoplovna-rperesina-vg.skole.hr,ured@ss-zrakoplovna-rperesina-vg.skole.hr,01-087-504,Zagrebačka županija
73,7. SVIBNJA 2,01/279-11-09,Vrbovec,SREDNJA ŠKOLA VRBOVEC,Zagrebačka županija,10340,Dubravka  Borko,"01/279-11-09, 01/279-10-49, 01/279-31-21",Srednja škola,www.ssvrbovec.hr,ured@ss-vrbovec.skole.hr,01-094-501,Zagrebačka županija
74,TRG DR FRANJE TUĐMANA 1,"",Zaprešić,Srednja škola Ban Josip Jelačić,Zagrebačka županija,10290,Alan  Labus,"01/339-99-84, 01/339-99-84",Srednja škola,www.ss-ban-jjelacic-zapresic.skole.hr,ured@ss-ban-jjelacic-zapresic.skole.hr,01-108-501,Zagrebačka županija
75,Gundulićeva 2a,"",Sveti Ivan Zelina,Srednja škola Dragutina Stražimira,Zagrebačka županija,10380,,"01/2060-047, 01/2060-622",Srednja škola,"",ured@ss-dstrazimira-svetiivanzelina.skole.hr,01-109-501,Zagrebačka županija
76,ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 6,049/382-113,Krapina,SREDNJA ŠKOLA KRAPINA,Krapinsko-zagorska županija,49000,Ivica  Rozijan,"049/382-111, 049/382-111, 049/382-100, 049/382-112, 049/382-117, 049/382-101, 049/382-123",Srednja škola,www.ss-krapina.skole.hr,ured@ss-krapina.skole.hr,02-040-501,Krapinsko-zagorska županija
77,IVANA I CVIJETE HUIS 2,049/249-130,Zabok,SREDNJA ŠKOLA ZABOK,Krapinsko-zagorska županija,49210,Draženka  Jurec,"049/221-018, 049/500-142, 049/226-577, 049/221-018",Srednja škola,http://ss-zabok.skole.hr,srednjao@inet.hr,02-097-501,Krapinsko-zagorska županija
78,Prilaz prof. Ivana Vrančića 5,"",Zabok,"Škola za umjetnost, dizajn, grafiku i odjeću Zabok",Krapinsko-zagorska županija,49210,Božica  Šarić,"049/221-620, 049/221-174, 049/221-205","Srednja škola, Umjetnička škola",http://ss-sudigo-zabok.skole.hr,ured@ss-sudigo-zabok.skole.hr,02-097-502,Krapinsko-zagorska županija
79,Prilaz Janka Tomića 2,049/503-382,Zabok,GIMNAZIJA ANTUNA GUSTAVA MATOŠA,Krapinsko-zagorska županija,49210,Bibijana  Šlogar,"049/587-655, 049/587-661, 049/587-667, 049/587-655",Srednja škola,http://www.gimagm.hr/,"ured@gimnazija-agmatos-zabok.skole.hr, gimagm-zabok@gimagm.hr",02-097-503,Krapinsko-zagorska županija
